epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.298,1.64243,1.92404,1.25583,0.51111,0.25436,0.26264,0.13761,1.61287,1.40965,1.27568,0.000473786,0.000473786,0.000473786
2,830.483,1.55831,1.28319,1.21738,0.82635,0.13952,0.14327,0.07141,1.63913,1.28452,1.30572,0.000931307,0.000931307,0.000931307
3,1468.82,1.55588,1.1884,1.2216,0.86736,0.14066,0.14648,0.07615,1.59131,1.09646,1.26247,0.00136997,0.00136997,0.00136997
4,2272.22,1.53377,1.10328,1.21248,0.8282,0.12785,0.13527,0.07346,1.55536,1.05288,1.25657,0.00134412,0.00134412,0.00134412
5,3397.82,1.49912,1.02399,1.19792,0.84806,0.12789,0.14886,0.08228,1.53579,0.94411,1.24992,0.00131582,0.00131582,0.00131582
6,4577.5,1.50849,1.00165,1.18658,0.83084,0.1307,0.14449,0.07931,1.55815,1.07281,1.2569,0.00128753,0.00128753,0.00128753
7,6093.48,1.49235,0.96942,1.1902,0.82389,0.10229,0.12099,0.07144,1.45281,0.85019,1.20921,0.00125923,0.00125923,0.00125923
8,7854.04,1.45729,0.93339,1.17753,0.83817,0.07148,0.09308,0.05438,1.47966,0.86926,1.2132,0.00123094,0.00123094,0.00123094
9,10031.6,1.44846,0.93075,1.16637,0.89093,0.1553,0.17838,0.10492,1.42888,0.86096,1.19458,0.00120265,0.00120265,0.00120265
10,12218.7,1.44579,0.92637,1.16915,0.83888,0.14578,0.17985,0.10287,1.4798,0.83328,1.20653,0.00117435,0.00117435,0.00117435
11,15042.9,1.4394,0.89191,1.16247,0.90112,0.14638,0.17201,0.10259,1.43014,0.7928,1.19138,0.00114606,0.00114606,0.00114606
12,20027.7,1.42267,0.8907,1.15963,0.89263,0.1032,0.12199,0.07214,1.44267,0.81847,1.20852,0.00111776,0.00111776,0.00111776
13,434.59,1.41324,0.87119,1.16044,0.93921,0.37226,0.40233,0.2388,1.41567,0.78101,1.19496,0.00108947,0.00108947,0.00108947
14,1049.43,1.41426,0.86203,1.15988,0.92324,0.39035,0.41983,0.24562,1.47655,0.78998,1.21778,0.00106118,0.00106118,0.00106118
15,1846.83,1.39852,0.84477,1.15028,0.89993,0.37113,0.39315,0.23321,1.42725,0.7746,1.18913,0.00103288,0.00103288,0.00103288
16,3153.49,1.38691,0.83397,1.13867,0.94397,0.50101,0.54115,0.30991,1.52955,0.78758,1.22972,0.00100459,0.00100459,0.00100459
17,4886.26,1.36552,0.80768,1.13633,0.94442,0.45418,0.50098,0.3038,1.38503,0.75022,1.1781,0.000976293,0.000976293,0.000976293
18,6583.47,1.38359,0.81187,1.12845,0.93468,0.46082,0.50013,0.2976,1.42021,0.7405,1.19153,0.000947999,0.000947999,0.000947999
19,9505.08,1.37504,0.80634,1.13718,0.92828,0.40868,0.44139,0.26643,1.39239,0.73855,1.18189,0.000919704,0.000919704,0.000919704
